toa,toa_sub,Female,Gender - All,Male,Unspecified,cube,quarter
Permanent,38-Excepted Service - Other,141162.0,327144.0,185979.0,,Employment - December 2009,2009-12
Permanent,50-Senior Executive Service - Career,2107.0,7005.0,4898.0,,Employment - December 2009,2009-12
Permanent,55-Senior Executive Service - Non-Career,226.0,560.0,334.0,,Employment - December 2009,2009-12
Permanent,**-Unspecified,12.0,26.0,14.0,,Employment - December 2009,2009-12
Permanent,Permanent,770662.0,1777356.0,1006691.0,,Employment - December 2009,2009-12
Non-permanent,20-Competitive Service,11456.0,31959.0,20503.0,,Employment - December 2009,2009-12
Non-permanent,40-Excepted Service - Schedule A,11130.0,24722.0,13592.0,,Employment - December 2009,2009-12
Non-permanent,42-Excepted Service - Schedule B,5033.0,10756.0,5723.0,,Employment - December 2009,2009-12
Non-permanent,44-Excepted Service - Schedule C,723.0,1383.0,660.0,,Employment - December 2009,2009-12
Non-permanent,46-Excepted Service - Executive,132.0,459.0,327.0,,Employment - December 2009,2009-12
Non-permanent,48-Excepted Service - Other,17046.0,38583.0,21537.0,,Employment - December 2009,2009-12
Non-permanent,60-Senior Executive Service - Limited Term,45.0,142.0,97.0,,Employment - December 2009,2009-12
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - December 2009,2009-12
Non-permanent,Non-permanent,45569.0,108010.0,62441.0,,Employment - December 2009,2009-12
Unspecified,Unspecified,34.0,89.0,55.0,,Employment - December 2009,2009-12
Permanent,10-Competitive Service - Career,494895.0,1113152.0,618257.0,,Employment - March 2010,2010-03
Permanent,15-Competitive Service - Career-Conditional,91617.0,231352.0,139735.0,,Employment - March 2010,2010-03
Permanent,30-Excepted Service - Schedule A,17087.0,40580.0,23493.0,,Employment - March 2010,2010-03
Permanent,32-Excepted Service - Schedule B,24965.0,62271.0,37306.0,,Employment - March 2010,2010-03
Permanent,36-Excepted Service - Executive,,18.0,,,Employment - March 2010,2010-03
Permanent,38-Excepted Service - Other,142273.0,329070.0,186796.0,,Employment - March 2010,2010-03
Permanent,50-Senior Executive Service - Career,2102.0,6972.0,4870.0,,Employment - March 2010,2010-03
Permanent,55-Senior Executive Service - Non-Career,252.0,615.0,363.0,,Employment - March 2010,2010-03
Permanent,**-Unspecified,12.0,25.0,13.0,,Employment - March 2010,2010-03
Permanent,Permanent,773211.0,1784055.0,1010843.0,,Employment - March 2010,2010-03
Non-permanent,20-Competitive Service,12587.0,33537.0,20950.0,,Employment - March 2010,2010-03
Non-permanent,40-Excepted Service - Schedule A,11327.0,24565.0,13238.0,,Employment - March 2010,2010-03
Non-permanent,42-Excepted Service - Schedule B,3786.0,8252.0,4466.0,,Employment - March 2010,2010-03
Non-permanent,44-Excepted Service - Schedule C,728.0,1397.0,669.0,,Employment - March 2010,2010-03
Non-permanent,46-Excepted Service - Executive,151.0,513.0,362.0,,Employment - March 2010,2010-03
Non-permanent,48-Excepted Service - Other,16225.0,36228.0,20003.0,,Employment - March 2010,2010-03
Non-permanent,60-Senior Executive Service - Limited Term,46.0,145.0,99.0,,Employment - March 2010,2010-03
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - March 2010,2010-03
Non-permanent,Non-permanent,44855.0,104644.0,59789.0,,Employment - March 2010,2010-03
Unspecified,Unspecified,34.0,86.0,52.0,,Employment - March 2010,2010-03
Permanent,10-Competitive Service - Career,496680.0,1119355.0,622675.0,,Employment - June 2010,2010-06
Permanent,15-Competitive Service - Career-Conditional,94868.0,239896.0,145028.0,,Employment - June 2010,2010-06
Permanent,30-Excepted Service - Schedule A,17253.0,40967.0,23714.0,,Employment - June 2010,2010-06
Permanent,32-Excepted Service - Schedule B,25864.0,64185.0,38321.0,,Employment - June 2010,2010-06
Permanent,36-Excepted Service - Executive,,18.0,,,Employment - June 2010,2010-06
Permanent,38-Excepted Service - Other,143860.0,333157.0,189296.0,,Employment - June 2010,2010-06
Permanent,50-Senior Executive Service - Career,2110.0,6988.0,4878.0,,Employment - June 2010,2010-06
Permanent,55-Senior Executive Service - Non-Career,269.0,655.0,386.0,,Employment - June 2010,2010-06
Permanent,**-Unspecified,12.0,24.0,12.0,,Employment - June 2010,2010-06
Permanent,Permanent,780924.0,1805245.0,1024320.0,,Employment - June 2010,2010-06
Non-permanent,20-Competitive Service,16164.0,46638.0,30474.0,,Employment - June 2010,2010-06
Non-permanent,40-Excepted Service - Schedule A,11995.0,27202.0,15207.0,,Employment - June 2010,2010-06
